event_type,ts,src_ip,src_port,dest_ip,dest_port,vlan,proto,app_proto,alert.severity,alert.signature,alert.category,alert.action,alert.signature_id,alert.gid,alert.rev,alert.metadata.signature_severity,alert.metadata.former_category,alert.metadata.attack_target,alert.metadata.deployment,alert.metadata.affected_product,alert.metadata.created_at,alert.metadata.performance_impact,alert.metadata.updated_at,alert.metadata.malware_family,alert.metadata.tag,alert.metadata.confidence,alert.metadata.reviewed_at,alert.metadata.mitre_tactic_id,alert.metadata.mitre_tactic_name,alert.metadata.mitre_technique_id,alert.metadata.mitre_technique_name,flow_id,pcap_cnt,tx_id,icmp_code,icmp_type,tunnel.src_ip,tunnel.src_port,tunnel.dest_ip,tunnel.dest_port,tunnel.proto,tunnel.depth,community_id
alert,2021-09-24T17:03:57.680616Z,62.149.128.200,25,10.9.23.102,63734,,TCP,smtp,3,SURICATA Applayer Detect protocol only one direction,Generic Protocol Command Decode,allowed,2260002,1,1,,,,,,,,,,,,,,,,,1.53E+15,46213,,,,,,,,,,1:sjJKh5mBbVnmXNwiw/VXSTruQYI=
alert,2021-09-24T17:04:03.033517Z,52.97.201.242,25,10.9.23.102,63736,,TCP,smtp,3,SURICATA Applayer Detect protocol only one direction,Generic Protocol Command Decode,allowed,2260002,1,1,,,,,,,,,,,,,,,,,2.18E+15,49810,,,,,,,,,,1:NOy/xICRM7YyjVddgszKn4Q9MX4=
alert,2021-09-24T17:04:03.31009Z,212.227.15.158,25,10.9.23.102,63737,,TCP,smtp,3,SURICATA Applayer Detect protocol only one direction,Generic Protocol Command Decode,allowed,2260002,1,1,,,,,,,,,,,,,,,,,2.03E+15,50209,,,,,,,,,,1:iVjVw2ocCw8eIrEbkkrmSIj7HiM=
alert,2021-09-24T17:04:07.769855Z,217.70.178.9,25,10.9.23.102,63738,,TCP,smtp,3,SURICATA Applayer Detect protocol only one direction,Generic Protocol Command Decode,allowed,2260002,1,1,,,,,,,,,,,,,,,,,1.22E+14,52280,,,,,,,,,,1:fNM3RiVP7i03xs8RjsHi4qf5Gb4=
alert,2021-09-24T17:04:08.917383Z,52.98.168.178,25,10.9.23.102,63739,,TCP,smtp,3,SURICATA Applayer Detect protocol only one direction,Generic Protocol Command Decode,allowed,2260002,1,1,,,,,,,,,,,,,,,,,1.39E+15,52358,,,,,,,,,,1:NyZHaQB5CH2UV+tIWAAATma1YIA=
alert,2021-09-24T17:04:09.733268Z,52.98.168.178,25,10.9.23.102,63740,,TCP,smtp,3,SURICATA Applayer Detect protocol only one direction,Generic Protocol Command Decode,allowed,2260002,1,1,,,,,,,,,,,,,,,,,5.07E+14,52806,,,,,,,,,,1:UEIfyPqK5QcJDotRm1g+9IOdljQ=
alert,2021-09-24T17:04:13.394701Z,193.70.18.144,25,10.9.23.102,63741,,TCP,smtp,3,SURICATA Applayer Detect protocol only one direction,Generic Protocol Command Decode,allowed,2260002,1,1,,,,,,,,,,,,,,,,,1.03E+15,55305,,,,,,,,,,1:AsrUNmNQIAUww8m9JERn/yvkM6Y=
alert,2021-09-24T17:04:16.414236Z,52.97.201.194,25,10.9.23.102,63744,,TCP,smtp,3,SURICATA Applayer Detect protocol only one direction,Generic Protocol Command Decode,allowed,2260002,1,1,,,,,,,,,,,,,,,,,2.74E+14,56865,,,,,,,,,,1:JlAYRFMVxmEVnoNucZ08l6foGoQ=
alert,2021-09-24T17:04:24.099763Z,193.70.18.144,25,10.9.23.102,63745,,TCP,smtp,3,SURICATA Applayer Detect protocol only one direction,Generic Protocol Command Decode,allowed,2260002,1,1,,,,,,,,,,,,,,,,,2.37E+14,61485,,,,,,,,,,1:6Iz5SHgfdmVKcperg7491puTyMk=
alert,2021-09-24T17:04:25.048756Z,217.70.178.9,25,10.9.23.102,63746,,TCP,smtp,3,SURICATA Applayer Detect protocol only one direction,Generic Protocol Command Decode,allowed,2260002,1,1,,,,,,,,,,,,,,,,,8.45E+13,61528,,,,,,,,,,1:rDCQae3ttmJ/eGAkOeFjNX877XQ=
